,edad,hombre,est_sup,colegio_priv,gran_empresa,segundo_trab,ingbrut,urbano,pobre
1,28.0,0,1,0,0,1,1454.5,1,0
2,48.0,0,0,0,0,1,2037.0,1,0
3,25.0,0,0,0,0,0,2037.0,1,0
4,16.0,0,0,0,0,0,2037.0,1,0
6,41.0,0,0,0,0,1,1842.0667317708333,1,0
7,19.0,0,1,0,0,0,1842.0667317708333,1,0
8,17.0,1,0,0,0,1,1842.0667317708333,1,0
9,15.0,0,0,0,0,0,1842.0667317708333,1,0
12,52.0,0,0,0,0,0,7488.583333333333,1,0
13,55.0,1,1,1,1,0,9437.166666666666,1,0
14,47.0,0,1,1,1,0,9437.166666666666,1,0
15,24.0,0,0,1,1,0,9437.166666666666,1,0
17,70.0,1,1,0,1,0,1788.5,1,0
18,64.0,0,0,0,0,0,1788.5,1,0
19,50.0,1,1,1,1,0,5301.0,1,0
22,57.0,0,1,0,1,0,2381.3333333333335,1,0
24,54.0,0,0,1,1,0,1482.9166666666667,1,0
27,55.0,1,0,0,1,1,2317.75,1,0
30,58.0,0,0,0,0,0,1861.8333333333333,1,0
31,23.0,0,1,0,0,0,1861.8333333333333,1,0
32,31.0,1,0,0,0,0,1861.8333333333333,1,0
33,53.0,0,0,0,0,1,2086.6666666666665,1,0
34,32.0,1,1,0,0,1,2086.6666666666665,1,0
38,53.0,0,1,1,0,0,12264.5,1,0
39,19.0,1,0,0,0,0,12264.5,1,0
41,68.0,1,0,0,1,1,3751.3333333333335,1,0
42,62.0,0,0,0,0,0,3751.3333333333335,1,0
43,54.0,1,0,0,0,0,1473.3333333333333,1,0
44,54.0,0,0,0,0,1,1473.3333333333333,1,0
47,16.0,1,0,0,0,0,1473.3333333333333,1,0
48,50.0,1,0,0,0,0,294.75,1,1
49,46.0,0,0,0,0,0,294.75,1,1
50,24.0,1,0,0,0,0,294.75,1,1
51,18.0,1,0,0,0,1,294.75,1,1
52,65.0,0,0,0,0,0,1632.76123046875,1,1
53,42.0,0,0,0,0,0,1632.76123046875,1,1
54,16.0,1,0,0,0,0,1632.76123046875,1,1
55,20.0,0,0,1,0,1,1632.76123046875,1,1
56,23.0,1,0,1,0,1,1632.76123046875,1,1
57,62.0,1,0,0,0,0,354.25,1,1
59,19.0,1,0,0,0,0,354.25,1,1
61,38.0,1,0,0,0,1,1102.6666666666667,1,1
62,25.0,0,0,0,0,0,1102.6666666666667,1,1
63,38.0,1,0,0,0,1,1181.3333333333333,1,1
64,31.0,0,0,0,0,1,1181.3333333333333,1,1
65,15.0,1,0,0,0,0,1181.3333333333333,1,1
